name,iso,entity_type,country,area,initiatives_committed,num_commit,lat,lng,population,population_year,state,admin_1,region
Ohey,BEL,City,Belgium,56.62,GlobalCovenantofMayors2019;NAZCA,2,50.43668,5.124604,4806,NA,Namur,Namur,Europe
Oia (Aegean Islands),GRC,City,Greece,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,36.4622122,25.3757257,1230,NA,South Aegean,Santorini,Europe
Oichalia,GRC,City,Greece,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,38.8736295,21.6657791,11753,2011,Peloponnese,,Europe
Oita,JPN,City,Japan,311.59,Carbonn2019,1,33,131,339701,NA,Oita Prefecture,,East Asia and the Pacific
Oita Prefecture,JPN,Region,Japan,6340,Carbonn2019,1,33.23818611,131.6126056,1177900,2013,NA,,East Asia and the Pacific
"Ojai, CA",USA,City,United States of America,11.26646,ClimateMayors,1,34.449167,-119.246667,7585,2010,California,"Ventura County, CA",North America
Ojén,ESP,City,Spain,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,36.5638516,-4.855725,2491,NA,Málaga,,Europe
Ojós,ESP,City,Spain,45.28,GlobalCovenantofMayors2019;NAZCA,2,38.147681,-1.342405,562,2018,Murcia,Río Mulal,Europe
Okayama,JPN,City,Japan,790,Carbonn2019,1,34.65,133.9166667,701923,2017,Okayama Prefecture,NA,East Asia and the Pacific
Okazaki,JPN,City,Japan,387,Carbonn2019;GlobalCovenantofMayors2019;NAZCA,3,34.95433333,137.1743611,375321,2016,Aichi Prefecture,,East Asia and the Pacific
Okinawa Prefecture,JPN,Region,Japan,2276,Carbonn2019,1,26.5,128,1413583,2017,NA,,East Asia and the Pacific
Olavarría,ARG,City,Argentina,7715,Carbonn2019;GlobalCovenantofMayors2019;NAZCA,3,-36.9,-60.33333333,111708,NA,Buenos Aires,,Latin America and Caribbean
Olbia,ITA,City,Italy,383.64,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,40.91666667,9.5,54873,2016,Sassari,,Europe
Olen,BEL,City,Belgium,NA,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,51.1438611,4.8597257,11923,NA,Antwerp Province,Turnhout,Europe
